species_id,group_name,invname,comname,alt_status,sciname,status_category,region_name,id,abbrev,region_num,region_desc,vip,status
7317,Flowering Plants,"Sandwort, Bear Valley",Bear Valley sandwort,,Arenaria ursina,Listed,Region 8,506,Wherever found,8,Pacific Southwest Region,P,Threatened
8949,Flowering Plants,Haha,Haha,,Cyanea dolichopoda,Listed,Region 1,9951,Wherever found,1,Pacific Region,P,Endangered
7425,Flowering Plants,Pamakani,Pamakani,,Viola chamissoniana ssp. chamissoniana,Listed,Region 1,863,Wherever found,1,Pacific Region,P,Endangered
570,Flowering Plants,"Lily, Pitkin Marsh",Pitkin Marsh lily,,Lilium pardalinum ssp. pitkinense,Listed,Region 8,570,Wherever found,8,Pacific Southwest Region,P,Endangered
4353,Flowering Plants,"Crownscale, San Jacinto Valley",San Jacinto Valley crownscale,,Atriplex coronata var. notatior,Listed,Region 8,1090,Wherever found,8,Pacific Southwest Region,P,Endangered
5355,Flowering Plants,"Pawpaw, Rugel's",Rugel's pawpaw,,Deeringothamnus rugelii,Listed,Region 4,923,,4,Southeast Region,P,Endangered
4684,Flowering Plants,No common name,No common name,,Lysimachia lydgatei,Listed,Region 1,1128,Wherever found,1,Pacific Region,P,Endangered
3206,Flowering Plants,Ha`iwale,Ha`iwale,,Cyrtandra hematos,Listed,Region 1,3020,Wherever found,1,Pacific Region,P,Endangered
9249,Flowering Plants,No common name,No common name,,Stenogyne kauaulaensis,Listed,Region 1,10234,Wherever found,1,Pacific Region,P,Endangered
7706,Flowering Plants,"paintbrush, golden",golden paintbrush,Proposed Delisting,Castilleja levisecta,Listed,Region 1,899,Wherever found,1,Pacific Region,P,Threatened
404,Flowering Plants,"Meadowfoam, Sebastopol",Sebastopol meadowfoam,,Limnanthes vinculans,Listed,Region 8,754,Wherever found,8,Pacific Southwest Region,P,Endangered
6401,Flowering Plants,Alani,Alani,,Melicope ovalis,Listed,Region 1,771,Wherever found,1,Pacific Region,P,Endangered
3669,Flowering Plants,No common name,No common name,,Neraudia ovata,Listed,Region 1,581,Wherever found,1,Pacific Region,P,Endangered
6292,Flowering Plants,"Cactus, Brady pincushion",Brady pincushion cactus,,Pediocactus bradyi,Listed,Region 2,791,Wherever found,2,Southwest Region,P,Endangered
1897,Flowering Plants,Ko`oko`olau,Ko`oko`olau,,Bidens campylotheca ssp. pentamera,Listed,Region 1,7617,Wherever found,1,Pacific Region,P,Endangered
2695,Flowering Plants,"Pussypaws, Mariposa",Mariposa pussypaws,,Calyptridium pulchellum,Listed,Region 8,519,Wherever found,8,Pacific Southwest Region,P,Threatened
4933,Flowering Plants,"Milk-vetch, Peirson's",Peirson's milk-vetch,,Astragalus magdalenae var. peirsonii,Listed,Region 8,1021,Wherever found,8,Pacific Southwest Region,P,Threatened
7332,Flowering Plants,"Bladderpod, Zapata",Zapata bladderpod,,Physaria thamnophila,Listed,Region 2,569,Wherever found,2,Southwest Region,P,Endangered
