Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ALBR5,GOBR3,Gomphrena brasiliana L.,,Amaranthaceae,Puerto Rico
ALCA5,,Alternanthera caracasana Kunth,washerwoman,Amaranthaceae,Puerto Rico
ALCA5,ACPE3,Achyranthes peploides (Humb. & Bonpl. ex Schult.) Britton & P. Wilson,,Amaranthaceae,Puerto Rico
ALCA5,ALPE6,Alternanthera peploides (Humb. & Bonpl. ex Schult.) Urb.,,Amaranthaceae,Puerto Rico
ALCA7,,Allamanda cathartica L.,golden trumpet,Apocynaceae,Puerto Rico
ALCA7,ALCAG,Allamanda cathartica L. var. grandiflora (Aubl.) L.H. Bailey & C.P. Raffill,,Apocynaceae,Puerto Rico
ALCA8,,Albizia carbonaria Britton,naked albizia,Fabaceae,Puerto Rico
ALCA8,PICA11,Pithecellobium carbonarium (Britton) Niez. & Nevl.,,Fabaceae,Puerto Rico
ALCEA,,Alcea L.,hollyhock,Malvaceae,Puerto Rico
ALCHO,,Alchornea Sw.,alchornea,Euphorbiaceae,Puerto Rico
ALCHO2,,Alchorneopsis Müll. Arg.,alchorneopsis,Euphorbiaceae,Puerto Rico
ALCR8,,Alternanthera crucis (Moq.) Boldingh,West Indian joyweed,Amaranthaceae,Puerto Rico
ALCR8,ACPO5,Achyranthes portoricensis (Kuntze) Standl.,,Amaranthaceae,Puerto Rico
ALCR8,ALDO2,Alternanthera dolichocephala (Urb.) Urb.,,Amaranthaceae,Puerto Rico
ALCR8,ALPO5,Alternanthera portoricensis Kuntze,,Amaranthaceae,Puerto Rico
ALCR9,,Allophylus crassinervis Radlk.,palo blanco,Sapindaceae,Puerto Rico
ALECT2,,Alectra Thunb.,alectra,Scrophulariaceae,Puerto Rico
ALEUR,,Aleurites J.R. Forst. & G. Forst.,aleurites,Euphorbiaceae,Puerto Rico
ALFI8,,Alternanthera ficoidea (L.) P. Beauv.,sanguinaria,Amaranthaceae,Puerto Rico
ALFI8,ACFI2,Achyranthes ficoidea auct. non (L.) Lam.,,Amaranthaceae,Puerto Rico
ALFI8,ALTE4,Alternanthera tenella Colla,,Amaranthaceae,Puerto Rico
ALFL,,Alternanthera flavescens Kunth,yellow joyweed,Amaranthaceae,Puerto Rico
ALFL,ACRA2,Achyranthes ramosissima auct. non (Mart.) Standl.,,Amaranthaceae,Puerto Rico
ALFL,ALFL4,Alternanthera floridana (Chapm.) Small,,Amaranthaceae,Puerto Rico
ALFL,ALRA3,Alternanthera ramosissima auct. non (Mart.) Chod.,,Amaranthaceae,Puerto Rico
ALFL2,,Alectra fluminensis (Vell.) Stearn,yerba de hierro,Scrophulariaceae,Puerto Rico
ALFL2,ALAS,Alectra aspera (Cham. & Schltdl.) L.O. Williams,,Scrophulariaceae,Puerto Rico
ALFL2,GLAS,Glossostylis aspera Cham. & Schltdl.,,Scrophulariaceae,Puerto Rico
ALFL2,MEME4,Melasma melampyroides (Rich.) Pennell,,Scrophulariaceae,Puerto Rico
ALFL2,PEME11,Pedicularis melampyroides Rich.,,Scrophulariaceae,Puerto Rico
ALFL3,,Alchorneopsis floribunda (Benth.) Müll. Arg.,palo de gallina,Euphorbiaceae,Puerto Rico
ALLA,,Alchornea latifolia Sw.,achiotillo,Euphorbiaceae,Puerto Rico
ALLAM,,Allamanda L.,allamanda,Apocynaceae,Puerto Rico
ALLE,,Albizia lebbeck (L.) Benth.,woman's tongue,Fabaceae,Puerto Rico
ALLE,MILE6,Mimosa lebbeck L.,,Fabaceae,Puerto Rico
ALLOP,,Allophylus L.,allophylus,Sapindaceae,Puerto Rico
ALLOS,,"Allosidastrum (Hochr.) Krapov., Fryxell & D.M. Bates",mock fanpetals,Malvaceae,Puerto Rico
ALMA11,,Alocasia macrorrhizos (L.) G. Don,giant taro,Araceae,Puerto Rico
ALMA11,ALAL11,Alocasia alba Schott,,Araceae,Puerto Rico
ALMA11,ALCR14,Alocasia crassifolia Engl.,,Araceae,Puerto Rico
ALMA11,ALIN10,Alocasia indica (Lour.) Spach,,Araceae,Puerto Rico
ALMA11,ALMA17,"Alocasia macrorrhiza (L.) Schott, orth. var.",,Araceae,Puerto Rico
ALMA11,ARIN21,Arum indicum Lour.,,Araceae,Puerto Rico
ALMA11,COIN13,Colocasia indica (Lour.) Kunth,,Araceae,Puerto Rico
ALMO,,Aleurites moluccanus (L.) Willd.,Indian walnut,Euphorbiaceae,Puerto Rico
ALMO,ALJA7,"Aleurites javanica Gand., orth. var.",,Euphorbiaceae,Puerto Rico
ALMO,ALJA10,Aleurites javanicus Gand.,,Euphorbiaceae,Puerto Rico
ALMO,ALMO2,"Aleurites moluccana (L.) Willd., orth. var.",,Euphorbiaceae,Puerto Rico
ALMO,ALTR10,"Aleurites triloba J.R. Forst. & G. Forst., orth. var.",,Euphorbiaceae,Puerto Rico
ALMO,ALTR,Aleurites trilobus J.R. Forst. & G. Forst.,,Euphorbiaceae,Puerto Rico
ALMOK3,,"Aleurites moluccanus (L.) Willd. var. katoi O. Deg., I. Deg. & B.C. Stone",Indian walnut,Euphorbiaceae,Puerto Rico
ALMOK3,ALMOK2,"Aleurites moluccana (L.) Willd. var. katoi O. Deg., I. Deg. & B.C. Stone, orth. var.",,Euphorbiaceae,Puerto Rico
ALOCA,,Alocasia (Schott) G. Don,taro,Araceae,Puerto Rico
ALOE,,Aloe L.,aloe,Aloaceae,Puerto Rico
